"gene","module"
"GFRA1","blue"
"CXCL6","grey"
"IGKV1-17","purple"
"ARL14","yellow"
"RN7SL1","blue"
"107987206","blue"
"RAP1GAP","blue"
"LOC112268127","blue"
"HEYL","blue"
"MT-TP","grey"
"CHST5","yellow"
"DTNA","blue"
"KLB","blue"
"HLA-DRB5","turquoise"
"AGMO","brown"
"SCARNA6","red"
"SNORA47","blue"
"PCSK1","pink"
"IL20RB","greenyellow"
"COCH","blue"
"IGLV2-11","purple"
"MAP1B","turquoise"
"HSD17B2","yellow"
"OCIAD2","brown"
"LOC112268153","blue"
"PM20D1-AS1","blue"
"MT1F","blue"
"SNORD97","red"
"FHL2","brown"
"KIF4A","brown"
"H3C10","brown"
"PLAAT4","brown"
"ANO1","turquoise"
"SPON1","turquoise"
"RN7SL2","blue"
"LOC105378179","blue"
"CDH13","turquoise"
"KANK4","blue"
"PHGDH","blue"
"CTNNA2","blue"
"DHRS2","blue"
"CNN1","turquoise"
"CLDN1","grey"
"PER1","blue"
"SNORA12","red"
"FLNA","turquoise"
"SLCO1B3","greenyellow"
"MT-ND5","cyan"
"CHST6","brown"
"101928875","blue"
"ECM1","brown"
"REP15","yellow"
"ZG16","magenta"
"TNFAIP2","turquoise"
"NR4A2","black"
"DEPDC1","brown"
"MIR7705","red"
"SDK1","blue"
"SDS","turquoise"
"SNORA73B","red"
"IGLV3-19","purple"
"HBD","black"
"LINC02568","blue"
"CEMIP","brown"
"SV2B","blue"
"PI16","green"
"HKDC1","yellow"
"STMN2","pink"
"SNORA74A","brown"
"SPOCK1","turquoise"
"H2BC13","brown"
"FMO5","yellow"
"UPK1B","grey"
"XAF1","turquoise"
"CTSS","brown"
"DCN","turquoise"
"RETNLB","salmon"
"BTD","magenta"
"HOGA1","blue"
"C11orf96","turquoise"
"IFI44L","turquoise"
"SLC6A6","turquoise"
"IGLV1-44","purple"
"CAMK1G","black"
"IGHJ6","purple"
"PCDH9","tan"
"PGBD5","blue"
"GRB10","blue"
"FAM83B","brown"
"HGD","blue"
"APOD","green"
"TRBV7-4","blue"
"ADAMTSL3","tan"
"SLC25A45","blue"
"CLCA2","greenyellow"
"PCSK2","pink"
"PTK7","turquoise"
"SLC2A2","magenta"
"SYTL2","brown"
"CDCA7","brown"
"ADIRF","green"
"CXCR4","turquoise"
"LINC02477","blue"
"ALPK2","turquoise"
"VLDLR","blue"
"LOC105372884","blue"
"PCOLCE2","turquoise"
"AKAP12","turquoise"
"CALD1","turquoise"
